order_id,age_group,product_category,order_value_inr,item_count,delivery_frequency_per_month
SM00001,36-50,Home,19896.45,14,4
SM00002,18-25,Electronics,4589.0,11,1
SM00003,36-50,Fashion,7255.83,6,8
SM00004,18-25,PersonalCare,6071.29,7,2
SM00005,26-35,Fashion,11477.37,12,7
SM00006,36-50,Fashion,32776.73,14,2
SM00007,36-50,PersonalCare,5445.25,4,6
SM00008,51+,Fashion,22756.18,11,7
SM00009,18-25,Home,2801.47,6,2
SM00010,51+,Electronics,2323.04,12,3
SM00011,36-50,Grocery,18899.34,14,1
SM00012,18-25,Home,7642.18,10,2
SM00013,51+,Electronics,2823.22,11,8
SM00014,26-35,Home,5991.12,14,8
SM00015,51+,PersonalCare,7754.36,13,1
SM00016,51+,Fashion,4448.37,7,10
SM00017,51+,Grocery,1611.33,5,4
SM00018,51+,Electronics,8649.08,12,2
SM00019,26-35,Grocery,5912.26,12,1
SM00020,26-35,PersonalCare,7955.98,12,12
SM00021,36-50,Fashion,2246.64,1,4
SM00022,26-35,Home,3419.15,3,3
SM00023,36-50,Home,700.69,1,4
SM00024,,PersonalCare,2929.05,3,4
SM00025,51+,PersonalCare,18118.41,15,9
SM00026,18-25,Fashion,12715.3,6,12
SM00027,51+,Fashion,23125.36,11,8
SM00028,51+,Fashion,12415.06,5,7
SM00029,26-35,PersonalCare,16352.15,15,10
SM00030,26-35,Electronics,717.65,1,8
SM00031,18-25,Home,2235.39,12,4
SM00032,26-35,Home,18860.74,11,4
SM00033,51+,PersonalCare,7884.58,10,2
SM00034,18-25,PersonalCare,10594.58,13,11
SM00035,26-35,PersonalCare,14845.04,6,6
SM00036,26-35,PersonalCare,1468.23,1,10
SM00037,,Grocery,14137.21,11,10
SM00038,36-50,Home,8808.03,5,10
SM00039,51+,Fashion,23378.14,11,5
SM00040,51+,Fashion,5088.93,5,8
SM00041,18-25,Electronics,4645.64,2,11
SM00042,51+,Home,18849.71,12,5
SM00043,51+,Home,15413.13,12,4
SM00044,51+,PersonalCare,3759.74,11,9
SM00045,18-25,PersonalCare,16511.33,13,1
SM00046,18-25,Electronics,14599.96,7,9
SM00047,51+,Electronics,17688.66,14,8
SM00048,51+,Grocery,7777.01,7,2
SM00049,51+,Fashion,6574.61,8,4
SM00050,36-50,Home,4598.69,7,7
SM00051,18-25,PersonalCare,22731.67,10,6
SM00052,18-25,Home,7712.17,9,2
SM00053,36-50,Fashion,4696.4,2,10
SM00054,51+,Grocery,3340.57,7,7
SM00055,51+,Fashion,11115.14,5,9
SM00056,18-25,Home,2264.59,5,3
SM00057,26-35,Grocery,4315.0,5,2
SM00058,36-50,Fashion,31598.47,14,12
SM00059,26-35,Grocery,16017.72,11,9
SM00060,18-25,Home,26802.9,15,1
SM00061,18-25,Fashion,4980.09,7,2
SM00062,18-25,Fashion,8972.94,4,9
SM00063,36-50,Fashion,15917.54,11,11
SM00064,18-25,Home,11190.88,6,8
SM00065,51+,Electronics,13723.93,9,6
SM00066,36-50,Grocery,1326.9,1,5
SM00067,36-50,PersonalCare,3369.55,10,1
SM00068,51+,PersonalCare,838.89,1,10
SM00069,51+,PersonalCare,4927.76,14,12
SM00070,18-25,Fashion,3629.69,10,10
SM00071,51+,Home,7555.57,4,11
SM00072,18-25,Grocery,2398.31,6,4
SM00073,51+,Grocery,3559.99,5,1
SM00074,51+,PersonalCare,22308.06,9,2
SM00075,18-25,PersonalCare,1669.85,7,6
SM00076,51+,Fashion,4497.16,2,6
SM00077,51+,Grocery,8971.86,12,4
SM00078,51+,Grocery,18829.64,9,2
SM00079,18-25,Grocery,16982.87,8,2
SM00080,26-35,Fashion,7238.41,6,9
SM00081,36-50,Fashion,27981.48,13,2
SM00082,26-35,Home,21795.0,12,5
SM00083,36-50,Home,14668.92,11,3
SM00084,36-50,Electronics,4287.37,3,12
SM00085,36-50,PersonalCare,3509.5,8,12
SM00086,51+,Home,26917.52,11,7
SM00087,36-50,Grocery,9984.27,5,3
SM00088,18-25,Fashion,4931.15,5,2
SM00089,18-25,Grocery,17248.25,9,2
SM00090,36-50,Grocery,6099.99,14,9
SM00091,36-50,Electronics,193.37,1,12
SM00092,36-50,Fashion,7200.2,8,6
SM00093,26-35,Fashion,3793.38,13,5
SM00094,18-25,Grocery,4138.59,5,11
