order_id,age_group,product_category,order_value_inr,item_count,delivery_frequency_per_month,avg_value_per_item,customer_order_frequency_group
SM00001,36-50,Home,19896.45,14,4.0,1421.175,Low
SM00002,18-25,Electronics,4589.0,11,1.0,417.1818181818182,Low
SM00003,36-50,Fashion,7255.83,6,8.0,1209.305,Medium
SM00004,18-25,PersonalCare,6071.29,7,2.0,867.3271428571428,Low
SM00005,26-35,Fashion,11477.37,12,7.0,956.4475000000001,Medium
SM00006,36-50,Fashion,32776.73,14,2.0,2341.195,Low
SM00007,36-50,PersonalCare,5445.25,4,6.0,1361.3125,Medium
SM00008,51+,Fashion,22756.18,11,7.0,2068.7436363636366,Medium
SM00009,18-25,Home,2801.47,6,2.0,466.91166666666663,Low
SM00010,51+,Electronics,2323.04,12,3.0,193.58666666666667,Low
SM00011,36-50,Grocery,18899.34,14,1.0,1349.952857142857,Low
SM00012,18-25,Home,7642.18,10,2.0,764.2180000000001,Low
SM00013,51+,Electronics,2823.22,11,8.0,256.6563636363636,Medium
SM00014,26-35,Home,5991.12,14,8.0,427.9371428571429,Medium
SM00015,51+,PersonalCare,7754.36,13,1.0,596.4892307692307,Low
SM00016,51+,Fashion,4448.37,7,10.0,635.4814285714285,High
SM00017,51+,Grocery,1611.33,5,4.0,322.26599999999996,Low
SM00018,51+,Electronics,8649.08,12,2.0,720.7566666666667,Low
SM00019,26-35,Grocery,5912.26,12,1.0,492.68833333333333,Low
SM00020,26-35,PersonalCare,7955.98,12,12.0,662.9983333333333,High
SM00021,36-50,Fashion,2246.64,1,4.0,2246.64,Low
SM00022,26-35,Home,3419.15,3,3.0,1139.7166666666667,Low
SM00023,36-50,Home,700.69,1,4.0,700.69,Low
SM00024,51+,PersonalCare,2929.05,3,4.0,976.35,Low
SM00025,51+,PersonalCare,18118.41,15,9.0,1207.894,High
SM00026,18-25,Fashion,12715.3,6,12.0,2119.2166666666667,High
SM00027,51+,Fashion,23125.36,11,8.0,2102.3054545454547,Medium
SM00028,51+,Fashion,12415.06,5,7.0,2483.0119999999997,Medium
SM00029,26-35,PersonalCare,16352.15,15,10.0,1090.1433333333332,High
SM00030,26-35,Electronics,717.65,1,8.0,717.65,Medium
SM00031,18-25,Home,2235.39,12,4.0,186.2825,Low
SM00032,26-35,Home,18860.74,11,4.0,1714.6127272727274,Low
SM00033,51+,PersonalCare,7884.58,10,2.0,788.458,Low
SM00034,18-25,PersonalCare,10594.58,13,11.0,814.9676923076923,High
SM00035,26-35,PersonalCare,14845.04,6,6.0,2474.1733333333336,Medium
SM00036,26-35,PersonalCare,1468.23,1,10.0,1468.23,High
SM00037,51+,Grocery,14137.21,11,10.0,1285.200909090909,High
SM00038,36-50,Home,8808.03,5,10.0,1761.6060000000002,High
SM00039,51+,Fashion,23378.14,11,5.0,2125.2854545454543,Medium
SM00040,51+,Fashion,5088.93,5,8.0,1017.7860000000001,Medium
SM00041,18-25,Electronics,4645.64,2,11.0,2322.82,High
SM00042,51+,Home,18849.71,12,5.0,1570.8091666666667,Medium
SM00043,51+,Home,15413.13,12,4.0,1284.4275,Low
SM00044,51+,PersonalCare,3759.74,11,9.0,341.7945454545454,High
SM00045,18-25,PersonalCare,16511.33,13,1.0,1270.102307692308,Low
SM00046,18-25,Electronics,14599.96,7,9.0,2085.7085714285713,High
SM00047,51+,Electronics,17688.66,14,8.0,1263.4757142857143,Medium
SM00048,51+,Grocery,7777.01,7,2.0,1111.0014285714285,Low
SM00049,51+,Fashion,6574.61,8,4.0,821.82625,Low
SM00050,36-50,Home,4598.69,7,7.0,656.9557142857142,Medium
SM00051,18-25,PersonalCare,22731.67,10,6.0,2273.167,Medium
SM00052,18-25,Home,7712.17,9,2.0,856.9077777777778,Low
SM00053,36-50,Fashion,4696.4,2,10.0,2348.2,High
SM00054,51+,Grocery,3340.57,7,7.0,477.2242857142857,Medium
SM00055,51+,Fashion,11115.14,5,9.0,2223.028,High
SM00056,18-25,Home,2264.59,5,3.0,452.918,Low
SM00057,26-35,Grocery,4315.0,5,2.0,863.0,Low
SM00058,36-50,Fashion,31598.47,14,12.0,2257.0335714285716,High
SM00059,26-35,Grocery,16017.72,11,9.0,1456.1563636363635,High
SM00060,18-25,Home,26802.9,15,1.0,1786.8600000000001,Low
SM00061,18-25,Fashion,4980.09,7,2.0,711.4414285714286,Low
SM00062,18-25,Fashion,8972.94,4,9.0,2243.235,High
SM00063,36-50,Fashion,15917.54,11,11.0,1447.049090909091,High
SM00064,18-25,Home,11190.88,6,8.0,1865.1466666666665,Medium
SM00065,51+,Electronics,13723.93,9,6.0,1524.881111111111,Medium
SM00066,36-50,Grocery,1326.9,1,5.0,1326.9,Medium
SM00067,36-50,PersonalCare,3369.55,10,1.0,336.95500000000004,Low
SM00068,51+,PersonalCare,838.89,1,10.0,838.89,High
SM00069,51+,PersonalCare,4927.76,14,12.0,351.98285714285714,High
SM00070,18-25,Fashion,3629.69,10,10.0,362.969,High
SM00071,51+,Home,7555.57,4,11.0,1888.8925,High
SM00072,18-25,Grocery,2398.31,6,4.0,399.7183333333333,Low
SM00073,51+,Grocery,3559.99,5,1.0,711.9979999999999,Low
SM00074,51+,PersonalCare,22308.06,9,2.0,2478.6733333333336,Low
SM00075,18-25,PersonalCare,1669.85,7,6.0,238.54999999999998,Medium
SM00076,51+,Fashion,4497.16,2,6.0,2248.58,Medium
SM00077,51+,Grocery,8971.86,12,4.0,747.6550000000001,Low
SM00078,51+,Grocery,18829.64,9,2.0,2092.182222222222,Low
SM00079,18-25,Grocery,16982.87,8,2.0,2122.85875,Low
SM00080,26-35,Fashion,7238.41,6,9.0,1206.4016666666666,High
SM00081,36-50,Fashion,27981.48,13,2.0,2152.4215384615386,Low
SM00082,26-35,Home,21795.0,12,5.0,1816.25,Medium
SM00083,36-50,Home,14668.92,11,3.0,1333.5381818181818,Low
SM00084,36-50,Electronics,4287.37,3,12.0,1429.1233333333332,High
SM00085,36-50,PersonalCare,3509.5,8,12.0,438.6875,High
SM00086,51+,Home,26917.52,11,7.0,2447.0472727272727,Medium
SM00087,36-50,Grocery,9984.27,5,3.0,1996.854,Low
SM00088,18-25,Fashion,4931.15,5,2.0,986.2299999999999,Low
SM00089,18-25,Grocery,17248.25,9,2.0,1916.4722222222222,Low
SM00090,36-50,Grocery,6099.99,14,9.0,435.7135714285714,High
SM00091,36-50,Electronics,193.37,1,12.0,193.37,High
SM00092,36-50,Fashion,7200.2,8,6.0,900.025,Medium
SM00093,26-35,Fashion,3793.38,13,5.0,291.79846153846154,Medium
SM00094,18-25,Grocery,4138.59,5,11.0,827.7180000000001,High
SM00095,26-35,PersonalCare,9692.9,15,4.0,646.1933333333333,Low
SM00096,18-25,Grocery,7247.03,12,12.0,603.9191666666667,High
SM00097,26-35,Fashion,2602.73,7,10.0,371.81857142857143,High
SM00098,51+,PersonalCare,4412.59,3,6.0,1470.8633333333335,Medium
SM00099,26-35,Home,1696.35,6,1.0,282.72499999999997,Low
SM00100,51+,PersonalCare,10200.94,8,1.0,1275.1175,Low
SM00101,18-25,Fashion,17726.57,8,3.0,2215.82125,Low
SM00102,18-25,Grocery,1392.88,1,7.0,1392.88,Medium
SM00103,36-50,Home,20289.23,11,3.0,1844.4754545454546,Low
SM00104,51+,Grocery,11592.54,9,6.0,1288.0600000000002,Medium
SM00105,36-50,Grocery,1668.29,1,4.0,1668.29,Low
SM00106,36-50,Electronics,10279.82,15,8.0,685.3213333333333,Medium
